case,target_active,target_theta_mean,target_theta_sigma,rank,elapsed_seconds,V3,V6,V9,V10,V11,V12,V15,V18,pred_active,pred_forward,pred_theta_mean,pred_theta_sigma,sim_active,sim_forward,sim_theta_mean,sim_theta_sigma,sim_theta_p95,sim_n_active,sim_n_forward,sim_n_backward,sim_bpm_score
t75,0.75,4.5,2.0,3,7.687999999994645,-836.5894775390625,-987.1829223632812,852.1026611328125,-83.84332275390625,-46.72064208984375,-753.4500732421875,-236.24005126953125,111.4197998046875,0.7484863996505737,1.0010689496994019,4.4625020027160645,2.0561280250549316,0.72,1.0,5.15652154,2.52435471,9.3801291,360,360,0,0.6843
t80,0.8,3.5,1.6,1,8.34399999998277,-837.9611206054688,-829.60498046875,695.944580078125,18.99554443359375,36.383544921875,-561.8431396484375,-113.108154296875,-146.676513671875,0.8020065426826477,1.002036690711975,3.4691855907440186,1.622884750366211,0.788,1.0,2.88725364,1.4185398,5.41499221,394,394,0,0.788
t80,0.8,3.5,1.6,2,7.812999999994645,-811.9713134765625,-807.3085327148438,881.8814697265625,-131.0223388671875,-157.59527587890625,-920.2325439453125,-224.64666748046875,-13.876220703125,0.8001171350479126,1.000956416130066,3.5024542808532715,1.597985029220581,0.732,1.0,3.33611782,1.31423117,5.66930483,366,366,0,0.732
t80,0.8,3.5,1.6,3,8.73499999998603,-725.8046264648438,-972.4874267578125,861.940185546875,-36.98095703125,-62.17132568359375,-733.4087524414062,-330.6578369140625,-104.9603271484375,0.7994597554206848,1.0001599788665771,3.501145839691162,1.59001886844635,0.772,1.0,3.45709735,1.42453099,5.83547247,386,386,0,0.7692
t85,0.85,3.5,1.6,1,8.577999999979511,-888.60498046875,-762.0047607421875,510.314453125,-12.468017578125,-25.70318603515625,-683.2862548828125,-128.51470947265625,-275.967041015625,0.8542852401733398,0.9991529583930969,3.474301815032959,1.6062065362930298,0.798,1.0,3.05310027,1.38234916,5.5278417,399,399,0,0.798
t85,0.85,3.5,1.6,2,7.780999999988126,-820.151123046875,-818.2733154296875,902.7266845703125,-127.70428466796875,-156.68206787109375,-920.812744140625,-210.57928466796875,-27.955078125,0.8499004244804382,1.0009864568710327,3.503394365310669,1.594086766242981,0.81,1.0,3.39216635,1.21420193,5.50938243,405,405,0,0.81
t85,0.85,3.5,1.6,3,8.14100000000326,-840.6985473632812,-780.8508911132812,572.1068115234375,74.617431640625,108.9918212890625,-603.681396484375,15.64666748046875,-0.7528076171875,0.8507420420646667,0.9982463717460632,3.4754765033721924,1.630428671836853,1.0,1.0,4.1155727,1.89472288,7.74678664,500,500,0,1.0
t90,0.9,3.5,1.6,1,8.046999999991385,-821.1602783203125,-847.7520141601562,706.4334716796875,-17.89105224609375,-17.92742919921875,-689.339111328125,-234.98028564453125,-158.24267578125,0.9000007510185242,1.0009762048721313,3.489650011062622,1.6081281900405884,0.884,1.0,3.19687751,1.50368474,6.14050181,442,442,0,0.884
t90,0.9,3.5,1.6,2,7.735000000015134,-896.0872802734375,-749.5376586914062,463.77783203125,-18.483642578125,-49.41162109375,-729.658203125,-85.2945556640625,-326.6278076171875,0.8996317982673645,0.9984968900680542,3.4875710010528564,1.593984842300415,0.914,1.0,3.55419266,1.58887881,6.7702262,457,457,0,0.9119
t90,0.9,3.5,1.6,3,8.030999999988126,-947.1444702148438,-694.1900024414062,508.1654052734375,17.8179931640625,15.2393798828125,-614.1666259765625,-4.97998046875,-158.3548583984375,0.8999565243721008,1.0013092756271362,3.503081798553467,1.6042371988296509,0.926,1.0,3.37128546,1.54132241,6.09161803,463,463,0,0.9246
