------ Begin Next Fly'm ------


"Begin Fly'm (Mon Jun 17 14:40:40 2024)"
"Ions Flown Separately, Comp Quality(3)"
"Number of Ions to Fly = 500"
"Changes:","Mass","Charge","X","Y","Z","KE","Azm","Elv","Time of Birth"
" ","NO ","NO ","YES","YES","YES","NO ","NO ","NO ","NO "


"Ion N","Events","TOF","Mass","Charge","X","Y","Z","Vt","Azm","Elv","KE Error"

1,1,0,44,1,79.7067,76.2681,87.1126,0,0,0,0
------ Begin Next Fly'm ------


"Begin Fly'm (Mon Jun 17 14:41:08 2024)"
"Ions Flown Separately, Comp Quality(3)"
"Number of Ions to Fly = 500"
"Changes:","Mass","Charge","X","Y","Z","KE","Azm","Elv","Time of Birth"
" ","NO ","NO ","YES","YES","YES","NO ","NO ","NO ","NO "


"Ion N","Events","TOF","Mass","Charge","X","Y","Z","Vt","Azm","Elv","KE Error"

67,16,304845,44,1,72.6581,89.1373,1.38342e-006,0.000324624,94.2468,7.73502,2.438e-011
68,1,0,44,1,78.8591,78.3271,88.5452,0,0,0,0
68,4,278683,44,1,72.2126,94,2.49489,0.000353542,94.5764,10.6992,1.54675e-011
69,1,0,44,1,78.7118,76.7365,89.4297,0,0,0,0
69,16,267513,44,1,70.7399,80.9861,1.02261e-007,0.000376934,95.2748,2.81643,2.84997e-011
70,1,0,44,1,79.228,75.3411,90.955,0,0,0,0
70,16,246120,44,1,75.0025,69.0866,9.99177e-007,0.000415397,92.7449,-4.07805,6.71633e-011
71,1,0,44,1,79.911,77.9712,86.1883,0,0,0,0
71,16,320093,44,1,81.0913,90.9552,1.36765e-006,0.000306275,89.1615,8.91047,1.76386e-011
72,1,0,44,1,78.2321,77.7175,87.0588,0,0,0,0
72,16,308080,44,1,66.9806,89.0621,2.92365e-007,0.000322458,97.6401,7.65355,3.63998e-011
73,1,0,44,1,79.6409,74.9705,89.6155,0,0,0,0
73,16,264872,44,1,78.6387,66.0493,1.12651e-006,0.000381341,90.6467,-5.90402,2.92336e-012
