number,value,datetime_start,datetime_complete,duration,params_V10,params_V11,params_V12,params_V9,system_attrs_cma:generation,system_attrs_cma:optimizer:0,system_attrs_cma:optimizer:1,system_attrs_fixed_params,state
28,6.0,2026-07-01 17:28:35.047327,2026-07-01 17:29:24.861673,0 days 00:00:49.814346,-107.9821866794751,-29.278103625724366,-754.5494356660104,751.9527879044742,2.0,,,,COMPLETE
29,2.0,2026-07-01 17:29:25.124668,2026-07-01 17:30:23.057638,0 days 00:00:57.932970,-60.628294617995124,9.814144843161543,-734.8573737745071,801.7605911973592,2.0,,,,COMPLETE
30,2.0,2026-07-01 17:30:23.338130,2026-07-01 17:31:14.271532,0 days 00:00:50.933402,-69.96360857323214,-5.3534284746313645,-734.2390110787933,816.6637272273509,2.0,,,,COMPLETE
31,11.0,2026-07-01 17:31:14.546666,2026-07-01 17:32:06.272052,0 days 00:00:51.725386,-85.06383693728483,16.488002009186033,-761.1089250493842,829.0613234586997,2.0,,,,COMPLETE
32,54.0,2026-07-01 17:32:06.520900,2026-07-01 17:32:58.578970,0 days 00:00:52.058070,-120.69647841327262,15.562508451602426,-752.9505086534076,767.1520929667804,2.0,,,,COMPLETE
33,6.0,2026-07-01 17:32:58.828976,2026-07-01 17:33:51.527409,0 days 00:00:52.698433,-105.7126058015424,10.480857252519172,-739.0782891656207,846.733346830417,2.0,,,,COMPLETE
34,2.0,2026-07-01 17:33:51.862090,2026-07-01 17:34:44.152269,0 days 00:00:52.290179,-122.04019376014739,9.04651389354617,-745.9080432490616,799.943356216455,3.0,800495c7070000000000008c0a636d6165732e5f636d61948c03434d419493942981947d94288c065f6e5f64696d944b048c085f706f7073697a65944b088c035f6d75944b048c075f6d755f656666948c156e756d70792e636f72652e6d756c74696172726179948c067363616c61729493948c056e756d7079948c0564747970659493948c02663894898887945294284b038c013c944e4e4e4affffffff4affffffff4b00749462430820436f8e2acd044094869452948c035f636394680b68114308000000000000e03f94869452948c035f633194680b6811430862115f01d0aeb03f94869452948c045f636d7594680b6811430815282f55d11faa3f94869452948c085f635f7369676d6194680b6811430830ce38804161d93f94869452948c085f645f7369676d6194680b681143088c330e605058f63f94869452948c035f636d944b018c065f6368695f6e94473ffe1861861861868c085f776569676874739468098c0c5f7265636f6e737472756374949394680c8c076e6461727261799493944b0085944301629487945294284b014b088594680e8c02663894898887945294284b0368124e4e4e4affffffff4affffffff4b00749462894340c0fc6f2530f5e03f922449922449d23f912449922449c23f1c7d92cd463fa53fcb8b860adec6c5bf6f2cafd2f5baddbfd4e62ed098d4e6bf6f2cafd2f5baedbf947494628c085f705f7369676d6194682f68314b008594683387945294284b014b0485946811894320aebc32a41c83eebfb0a6544d0de2e53f58781baa6c41e0bf0c895a1d2787c2bf947494628c035f706394682f68314b008594683387945294284b014b0485946811894320d40adcf87728e9bf5edc534b86f8e43f9fabea7b8b64dcbf603ea6874cc57b3f947494628c055f6d65616e94682f68314b008594683387945294284b014b04859468398943205568b5e956aed23f2447cdc7a6dde33f8acfc7076f46dd3faadc3c1d45b4d83f947494628c065f7369676d6194680b681143083faf692228a9c23f94869452948c025f44944e8c025f42944e8c075f626f756e647394682f68314b008594683387945294284b014b044b02869468398943400000000000000000000000000000f03f0000000000000000000000000000f03f0000000000000000000000000000f03f0000000000000000000000000000f03f947494628c115f6e5f6d61785f726573616d706c696e67944b288c025f67944b038c095f6c725f616461707494898c065f616c70686194473ff66666666666668c0a5f626574615f6d65616e94473fb999999999999a8c0b5f626574615f5369676d6194473f9eb851eb851eb88c065f67616d6d6194473fb999999999999a8c065f456d65616e94682f68314b008594683387945294284b014,b044b01869468398943200000000000000000000000000000000000000000000000000000000000000000947494628c075f455369676d6194682f68314b008594683387945294284b014b104b01869468398943800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000947494628c065f566d65616e944700000000000000008c075f565369676d61944700000000000000008c095f6574615f6d65616e94473ff00000000000008c0a5f6574615f5369676d6194473ff00000000000008c055f746f6c7894680b6811430816383daccc74473d94869452948c075f746f6c787570944740c38800000000008c075f746f6c66756e94473d719799812dea118c105f746f6c636f6e646974696f6e636f76944742d6bcc41e9000008c0d5f66756e686973745f7465726d944b198c0f5f66756e686973745f76616c75657394682f68314b008594683387945294284b014b32859468398942900100001cc999e50c560000000000000000000000000000000020c0000000000000008000000000000045c000000000000000800000000000004bc000000000000000c04f494e20747269616c5f76616c756573204f4e20747269616c732e747269616c5f6964203d20747269616c5f76616c7565732e747269616c5f6964200a574845524520747269616c732e73747564795f6964203d203f20414e4420747269616c732e7374617465203d203f20414e4420747269616c5f76616c7565732e6f626a656374697665203d203f204f524445522042592043415345205748454e2028747269616c5f76616c7565732e76616c75655f74797065203d203f29205448454e203f205748454e2028747269616c5f76616c7565732e76616c75655f74797065203d203f29205448454e203f205748454e2028747269616c5f76616c7565732e76616c75655f74797065203d203f29205448454e203f20454e4420444553432c20747269616c5f76616c7565732e76616c756520444553430a204c494d4954203f204f4646534554203f000000000000947494628c055f635f316494682f68314b008594683387945294284b014b0a85946811894350ed4a756f40dee93f929f7e61c79dabbf087ed9882b0cb8bf5f8848e26f56c43ff09fd7e16d4af33fa0a678ff9dfcb33f91328cb3681dbb3f1fbdcf1fbbc4e23f6e689feb2b2db5bffff078676f45f03f9474946275622e,,COMPLETE
35,8.0,2026-07-01 17:34:44.431404,2026-07-01 17:35:38.539177,0 days 00:00:54.107773,-81.90519526762259,1.88858950608698,-749.9301946632207,778.3434866669504,3.0,,,,COMPLETE
36,0.0,2026-07-01 17:35:38.809997,2026-07-01 17:36:29.887941,0 days 00:00:51.077944,-128.1921194904105,1.5873387303688062,-755.8543238047704,747.0521855242205,3.0,,,,COMPLETE
37,44.0,2026-07-01 17:36:30.130533,2026-07-01 17:37:25.601493,0 days 00:00:55.470960,-92.21572590949046,33.37039095946088,-747.679033776657,751.753358122352,3.0,,,,COMPLETE
